

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
TLKM,2019-06-24,4040,3980,-60,-1.49,50525100,
TLKM,2019-06-21,4040,4040,0,0.00,154049700,
TLKM,2019-06-20,4100,4040,-60,-1.46,57673700,
TLKM,2019-06-19,3980,4100,120,3.02,100210400,
TLKM,2019-06-18,3900,3980,80,2.05,66112800,
TLKM,2019-06-17,3990,3900,-90,-2.26,60851700,
TLKM,2019-06-14,3990,3990,0,0.00,92466800,
TLKM,2019-06-13,3940,3990,50,1.27,115734700,
TLKM,2019-06-12,4020,3940,-80,-1.99,134724400,
TLKM,2019-06-11,4040,4020,-20,-0.50,88861700,
TLKM,2019-06-10,3900,4040,140,3.59,222522800,
TLKM,2019-05-31,3780,3900,120,3.17,194331700,
TLKM,2019-05-29,3690,3780,90,2.44,122534500,
TLKM,2019-05-28,3820,3690,-130,-3.40,322246900,
TLKM,2019-05-27,3750,3820,70,1.87,87146600,
TLKM,2019-05-24,3660,3750,90,2.46,87594500,
TLKM,2019-05-23,3540,3660,120,3.39,113281100,
TLKM,2019-05-22,3600,3540,-60,-1.67,63687000,
TLKM,2019-05-21,3600,3600,0,0.00,106104000,
TLKM,2019-05-20,3510,3600,90,2.56,82354400,
TLKM,2019-05-17,3600,3510,-90,-2.50,94437400,
TLKM,2019-05-16,3660,3600,-60,-1.64,107366200,
TLKM,2019-05-15,3760,3660,-100,-2.66,57596600,
TLKM,2019-05-14,3770,3760,-10,-0.27,77483200,
TLKM,2019-05-13,3790,3770,-20,-0.53,47605100,
TLKM,2019-05-10,3800,3790,-10,-0.26,66672500,
TLKM,2019-05-09,3900,3800,-100,-2.56,74716500,
TLKM,2019-05-08,3900,3900,0,0.00,77743400,
TLKM,2019-05-07,3840,3900,60,1.56,74814500,
TLKM,2019-05-06,3820,3840,20,0.52,107167400,
TLKM,2019-05-03,3830,3820,-10,-0.26,101522800,
TLKM,2019-05-02,3790,3830,40,1.06,136768800,
TLKM,2019-04-30,3860,3790,-70,-1.81,132318200,
TLKM,2019-04-29,3910,3860,-50,-1.28,50143700,
TLKM,2019-04-26,3830,3910,80,2.09,66452700,
TLKM,2019-04-25,3840,3830,-10,-0.26,52775100,
TLKM,2019-04-24,3850,3840,-10,-0.26,76660900,
TLKM,2019-04-23,3780,3850,70,1.85,86443700,
TLKM,2019-04-22,3860,3780,-80,-2.07,48671200,
TLKM,2019-04-18,3870,3860,-10,-0.26,119263400,
TLKM,2019-04-16,3830,3870,40,1.04,62572100,
TLKM,2019-04-15,3830,3830,0,0.00,44510600,
TLKM,2019-04-12,3870,3830,-40,-1.03,64475500,
TLKM,2019-04-11,3950,3870,-80,-2.03,75423000,
TLKM,2019-04-10,3970,3950,-20,-0.50,76951600,
TLKM,2019-04-09,3980,3970,-10,-0.25,114015800,
TLKM,2019-04-08,4050,3980,-70,-1.73,113095000,
TLKM,2019-04-05,4040,4050,10,0.25,90482100,
TLKM,2019-04-04,3950,4040,90,2.28,115095300,
TLKM,2019-04-02,3930,3950,20,0.51,47506800,
TLKM,2019-04-01,3950,3930,-20,-0.51,48110800,
TLKM,2019-03-29,3890,3950,60,1.54,145011000,
TLKM,2019-03-28,3820,3890,70,1.83,85493000,
TLKM,2019-03-27,3820,3820,0,0.00,55705000,
TLKM,2019-03-26,3770,3820,50,1.33,31807900,
TLKM,2019-03-25,3820,3770,-50,-1.31,67399300,
TLKM,2019-03-22,3800,3820,20,0.53,47255300,
TLKM,2019-03-21,3780,3800,20,0.53,56829400,
TLKM,2019-03-20,3780,3780,0,0.00,64947700,
TLKM,2019-03-19,3830,3780,-50,-1.31,47453900,
TLKM,2019-03-18,3740,3830,90,2.41,60595400,
TLKM,2019-03-15,3730,3740,10,0.27,152543400,
TLKM,2019-03-14,3730,3730,0,0.00,89301700,
TLKM,2019-03-13,3800,3730,-70,-1.84,86683100,
TLKM,2019-03-12,3770,3800,30,0.80,61127700,
TLKM,2019-03-11,3740,3770,30,0.80,62251900,
TLKM,2019-03-08,3820,3740,-80,-2.09,105963500,
TLKM,2019-03-06,3870,3820,-50,-1.29,69927600,
TLKM,2019-03-05,3850,3870,20,0.52,41171000,
TLKM,2019-03-04,3910,3850,-60,-1.53,32250500,
TLKM,2019-03-01,3860,3910,50,1.30,49810100,
TLKM,2019-02-28,3910,3860,-50,-1.28,161156000,
TLKM,2019-02-27,3930,3910,-20,-0.51,48788200,
TLKM,2019-02-26,3910,3930,20,0.51,49657300,
TLKM,2019-02-25,3840,3910,70,1.82,53792400,
TLKM,2019-02-22,3870,3840,-30,-0.78,61392700,
TLKM,2019-02-21,3870,3870,0,0.00,48031100,
TLKM,2019-02-20,3920,3870,-50,-1.28,87933000,
TLKM,2019-02-19,3900,3920,20,0.51,82962700,
TLKM,2019-02-18,3790,3900,110,2.90,80275800,
TLKM,2019-02-15,3740,3790,50,1.34,67812600,
TLKM,2019-02-14,3790,3740,-50,-1.32,76939400,
TLKM,2019-02-13,3820,3790,-30,-0.79,113161100,
TLKM,2019-02-12,3930,3820,-110,-2.80,92427800,
TLKM,2019-02-11,3850,3930,80,2.08,88628900,
TLKM,2019-02-08,3860,3850,-10,-0.26,32131700,
TLKM,2019-02-07,3860,3860,0,0.00,39141500,
TLKM,2019-02-06,3780,3860,80,2.12,72180200,
TLKM,2019-02-04,3870,3780,-90,-2.33,70070500,
TLKM,2019-02-01,3900,3870,-30,-0.77,79588900,
TLKM,2019-01-31,3860,3900,40,1.04,110953700,
TLKM,2019-01-30,3840,3860,20,0.52,85903100,
TLKM,2019-01-29,3780,3840,60,1.59,118131200,
TLKM,2019-01-28,3880,3780,-100,-2.58,168983100,
TLKM,2019-01-25,3860,3880,20,0.52,75844000,
TLKM,2019-01-24,3920,3860,-60,-1.53,118836500,
TLKM,2019-01-23,4000,3920,-80,-2.00,72518500,
TLKM,2019-01-22,4030,4000,-30,-0.74,95420500,
TLKM,2019-01-21,4020,4030,10,0.25,83317600,
TLKM,2019-01-18,3990,4020,30,0.75,76350400,
TLKM,2019-01-17,3990,3990,0,0.00,78766100,
