

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2019-03-15,342,332,-10,-2.92,220637400,
FREN,2019-03-14,330,342,12,3.64,452377000,
FREN,2019-03-13,294,330,36,12.24,272740800,
FREN,2019-03-12,296,294,-2,-0.68,116560500,
FREN,2019-03-11,288,296,8,2.78,79290800,
FREN,2019-03-08,286,288,2,0.70,159052800,
FREN,2019-03-06,296,286,-10,-3.38,59405000,
FREN,2019-03-05,304,296,-8,-2.63,129147800,
FREN,2019-03-04,306,304,-2,-0.65,181503900,
FREN,2019-03-01,284,306,22,7.75,201095300,
FREN,2019-02-28,298,284,-14,-4.70,145933000,
FREN,2019-02-27,302,298,-4,-1.32,174490400,
FREN,2019-02-26,312,302,-10,-3.21,581258300,
FREN,2019-02-25,282,312,30,10.64,396956800,
FREN,2019-02-22,290,282,-8,-2.76,70985000,
